state,city,place,vibe_all,total_estimated_cost_per_person_per_day,group_suitability_score,rating,distance_from_major_city,ideal_stay_duration_days,recommended_for_groups,famous_food,best_season,popularity_score,activities,why_recommended
Maharashtra,Arnala,Arnala Beach & Fort,"beach, heritage, relax",350,8.3,4.2,0,1.0,Yes,Local cuisine popular in Arnala,Nov-Feb,80,"Boating, Exploring fort",Unique sea fort built by Portuguese
Maharashtra,Alibaug,Alibaug Beach,"beach, relax, social",700,9.0,4.6,95,2.0,Yes,Local cuisine popular in Alibaug,Nov-Feb,95,"Beach walks, Water sports, Photography",Most popular weekend beach destination near Mumbai
Maharashtra,Murud,Murud Janjira Fort,"adventure, beach, heritage",1000,9.2,4.7,165,1.0,Yes,Local cuisine popular in Murud,Nov-Feb,96,"Boat ride, Fort exploration",Famous sea fort reachable only by boat
Maharashtra,Raigad,Raigad Fort,"adventure, heritage, trek",500,9.3,4.7,170,1.0,Yes,Local cuisine popular in Raigad,Oct-Mar,97,"Trekking, Ropeway ride, Photography",Capital fort of Chhatrapati Shivaji Maharaj
Maharashtra,Karjat,Kondana Caves,"adventure, ancient, nature",400,8.7,4.4,90,1.0,Yes,Local cuisine popular in Karjat,Oct-Feb,88,"Trekking, Cave exploration",Ancient Buddhist caves with scenic trek route
Maharashtra,Matheran,Panorama Point,"hill station, nature, scenic",1200,9.1,4.6,120,2.0,Yes,Local cuisine popular in Matheran,Oct-Feb,92,"Hiking, Valley views, Photography",Cloud-touching viewpoint at eco-friendly hill station
Maharashtra,Kashid,Kashid Beach,"beach, calm, nature",600,8.9,4.5,140,1.0,Yes,Local cuisine popular in Kashid,Nov-Feb,89,"Beach walks, Water sports",Clean white sand beach popular for camping
Maharashtra,Pune,Shaniwar Wada,"architectural, cultural, heritage",500,9.0,4.6,0,1.0,Yes,Local cuisine popular in Pune,Nov-Feb,95,"Fort tour, Photography",Iconic Maratha-era palace fort in the city
Maharashtra,Pune,Sinhagad Fort,"adventure, heritage, trek",400,9.2,4.7,30,1.0,Yes,Local cuisine popular in Pune,Oct-Feb,96,"Trekking, Sunrise view, Photography",Most popular trek near Pune with stunning views
Maharashtra,Lavasa,Lavasa City,"relax, scenic, urban",1500,8.8,4.5,60,2.0,Yes,Local cuisine popular in Lavasa,Nov-Feb,90,"Boating, Cycling, Sightseeing",Modern hill-town with lake promenade
Maharashtra,Pune,Aga Khan Palace,"cultural, heritage, peaceful",300,8.7,4.5,0,1.0,Yes,Local cuisine popular in Pune,Oct-Feb,92,"Museum visit, Photography",Important site from Indian freedom struggle
Maharashtra,Mulshi,Mulshi Lake,"nature, relax, scenic",1200,9.1,4.6,40,2.0,Yes,Local cuisine popular in Mulshi,Jul-Feb,93,"Lakeside stay, Photography, Kayaking",Perfect monsoon & winter getaway
Maharashtra,Rajgad,Rajgad Fort,"adventure, heritage, trek",500,9.3,4.7,50,1.0,Yes,Local cuisine popular in Rajgad,Oct-Feb,94,"Trekking, Camping, Photography",Capital fort of Chatrapati Shivaji Maharaj
Maharashtra,Solapur,Siddheshwar Temple,"cultural, heritage, spiritual",400,8.9,4.5,0,1.0,Yes,Local cuisine popular in Solapur,Nov-Feb,92,"Darshan, Photography",Most iconic temple in Solapur with lake view
Maharashtra,Solapur,Solapur Bhuikot Fort,"architecture, cultural, heritage",300,8.5,4.3,0,1.0,Yes,Local cuisine popular in Solapur,Nov-Feb,88,"Exploration, Photography",Historic fort with unique Indo-Persian architecture
Maharashtra,Pandharpur,Vithoba Temple (Pandharpur),"cultural, pilgrimage, spiritual",500,9.2,4.7,75,1.0,Yes,Local cuisine popular in Pandharpur,Oct-Mar,98,"Darshan, Bhajans, Yatra",Major pilgrimage site of Maharashtra
Maharashtra,Akkalkot,Shrikshetra Akkalkot,"cultural, peaceful, spiritual",400,8.7,4.4,40,1.0,Yes,Local cuisine popular in Akkalkot,Oct-Feb,90,"Temple visit, Meditation",Famous samadhi of Shri Swami Samarth
Maharashtra,Nannaj,Great Indian Bustard Sanctuary,"birding, nature, wildlife",1500,8.8,4.6,25,1.0,Yes,Local cuisine popular in Nannaj,Oct-Mar,91,"Bird watching, Photography",Home to critically endangered Great Indian Bustard
Maharashtra,Solapur,Hipparga Lake,"quiet, relax, scenic",300,8.3,4.2,15,1.0,Yes,Local cuisine popular in Solapur,Nov-Feb,82,"Picnic, Photography",Calm lake ideal for peaceful group outings
Maharashtra,Mahabaleshwar,Venna Lake,"hill station, relax, scenic",1200,9.1,4.6,120,2.0,Yes,Local cuisine popular in Mahabaleshwar,Oct-Feb,96,"Boating, Photography, Horse riding",Most visited spot in Mahabaleshwar
Maharashtra,Panchgani,Table Land,"nature, plateau views, scenic",1000,8.9,4.5,100,1.0,Yes,Local cuisine popular in Panchgani,Oct-Feb,94,"Horse riding, Cycling, Photography",Second-largest plateau in Asia with stunning views
Maharashtra,Satara,Thoseghar Waterfall,"adventure, nature, waterfall",600,9.0,4.6,25,1.0,Yes,Local cuisine popular in Satara,Jul-Oct,92,"Waterfall viewing, Trekking",One of Maharashtra's tallest waterfalls
Maharashtra,Kaas,Kaas Plateau (Valley of Flowers),"floral, nature, scenic",800,9.3,4.7,30,1.0,Yes,Local cuisine popular in Kaas,Aug-Oct,98,"Photography, Nature walk",UNESCO-listed biodiversity hotspot
Maharashtra,Sajjangad,Sajjangad Fort,"fort, heritage, spiritual",300,8.8,4.4,25,1.0,Yes,Local cuisine popular in Sajjangad,Oct-Feb,89,"Fort visit, Meditation",Final resting place of Sant Ramdas
Maharashtra,Satara,Ajinkyatara Fort,"adventure, heritage, trek",400,8.6,4.3,5,1.0,Yes,Local cuisine popular in Satara,Oct-Feb,87,"Trekking, Photography",Historic fort offering citywide views
Maharashtra,Sangli,Sangli Ganapati Temple,"cultural, peaceful, spiritual",300,9.0,4.6,0,1.0,Yes,Local cuisine popular in Sangli,Oct-Feb,95,"Darshan, Meditation, Photography",Most famous Ganapati temple on Krishna riverside
Maharashtra,Miraj,Miraj Dargah,"heritage, spiritual, sufi",400,8.8,4.5,10,1.0,Yes,Local cuisine popular in Miraj,Oct-Feb,90,"Darshan, Peaceful visit",Popular Sufi dargah known for qawwali
Maharashtra,Sangli,Sangli Fort,"architecture, cultural, heritage",300,8.4,4.3,0,1.0,Yes,Local cuisine popular in Sangli,Nov-Feb,86,"Fort exploration, Photography",Maratha-era fort in city center
Maharashtra,Tasgaon,Tasgaon Vithoba Temple,"cultural, heritage, spiritual",350,8.6,4.4,25,1.0,Yes,Local cuisine popular in Tasgaon,Oct-Mar,88,"Temple visit, Photography",Well-known temple with tall deepstambh
Maharashtra,Audumbar,Audumbar Datta Temple,"peaceful, riverside, spiritual",400,8.9,4.5,25,1.0,Yes,Local cuisine popular in Audumbar,Nov-Feb,92,"Darshan, River walk",Sacred Datta Peetha on Krishna River
Maharashtra,Dandoba,Dandoba Hill Forest Reserve,"adventure, nature, trek",500,8.7,4.4,15,1.0,Yes,Local cuisine popular in Dandoba,Oct-Feb,89,"Trekking, Birdwatching, Photography",Popular hill forest with scenic views
Maharashtra,Kolhapur,Mahalaxmi Temple,"cultural, heritage, spiritual",300,9.3,4.8,0,1.0,Yes,Local cuisine popular in Kolhapur,Oct-Mar,98,"Darshan, Religious rituals",One of the Shaktipeethas & major pilgrimage site
Maharashtra,Kolhapur,Rankala Lake,"relax, scenic, urban",400,8.8,4.5,0,1.0,Yes,Local cuisine popular in Kolhapur,Nov-Feb,92,"Lake walk, Street food",Popular lakeside hangout for locals
Maharashtra,Panhala,Panhala Fort,"heritage, hill station, scenic",600,9.1,4.7,20,1.0,Yes,Local cuisine popular in Panhala,Oct-Feb,95,"Trekking, Fort tour, Photography",Capital fort where Shivaji Maharaj stayed
Maharashtra,Gaganbawda,Gagangad (Gaganbawda Ghat),"hill views, nature, scenic",800,9.0,4.6,55,1.0,Yes,Local cuisine popular in Gaganbawda,Jul-Feb,93,"Sightseeing, Photography",Foggy valleys & green mountain views
Maharashtra,Radhanagari,Radhanagari Wildlife Sanctuary,"forest, nature, wildlife",1200,8.9,4.5,60,1.0,Yes,Local cuisine popular in Radhanagari,Nov-Feb,90,"Safari, Birdwatching, Nature walk","Home to bison, deer & rich flora"
Maharashtra,Wadi-Ratnagiri,Jyotiba Temple,"cultural, hill station, spiritual",400,8.7,4.4,20,1.0,Yes,Local cuisine popular in Wadi-Ratnagiri,Oct-Mar,89,"Darshan, Photography",Famous hilltop shrine of Lord Jyotiba
Maharashtra,Trimbak,Trimbakeshwar Temple,"cultural, heritage, spiritual",400,9.3,4.8,30,1.0,Yes,Local cuisine popular in Trimbak,Oct-Mar,98,"Darshan, Pooja, Temple visit",One of the 12 Jyotirlingas
Maharashtra,Nashik,Sula Vineyards,"luxury, relax, scenic",2500,9.1,4.7,10,2.0,Yes,Local cuisine popular in Nashik,Nov-Feb,96,"Wine tasting, Vineyard tour, Dining",India’s most iconic vineyard destination
Maharashtra,Nashik,Panchvati (Ram Kund),"heritage, riverside, spiritual",300,8.9,4.5,0,1.0,Yes,Local cuisine popular in Nashik,Nov-Feb,94,"Temple visit, Pilgrimage walk",Important Ramayana-era religious hub
Maharashtra,Anjaneri,Anjaneri Fort,"adventure, spiritual, trek",500,8.8,4.5,20,1.0,Yes,Local cuisine popular in Anjaneri,Oct-Feb,90,"Trekking, Photography, Temple visit",Birthplace of Lord Hanuman as per belief
Maharashtra,Igatpuri,Harihar Fort,"adventure, scenic, trek",600,9.0,4.6,45,1.0,Yes,Local cuisine popular in Igatpuri,Oct-Feb,92,"Rock-cut climbing, Trekking",Famous for its unique 80-degree rock stairs
Maharashtra,Saputara,Saputara Hill Station,"hill station, nature, scenic",1500,9.2,4.7,80,2.0,Yes,Local cuisine popular in Saputara,Oct-Mar,95,"Boating, Ropeway, Trekking",Most popular hill station near Nashik
Maharashtra,Ahmednagar,Ahmednagar Fort,"architecture, cultural, heritage",300,8.7,4.4,0,1.0,Yes,Local cuisine popular in Ahmednagar,Nov-Feb,90,"Fort tour, Photography",Important Mughal-era fort where Jawaharlal Nehru was imprisoned
Maharashtra,Shirdi,Shirdi Sai Baba Temple,"peaceful, pilgrimage, spiritual",600,9.5,4.8,83,1.0,Yes,Local cuisine popular in Shirdi,Oct-Mar,99,"Darshan, Prayers",One of India’s biggest pilgrimage centers
Maharashtra,Shani Shingnapur,Shani Shingnapur Temple,"cultural, spiritual, unique",300,8.8,4.5,65,1.0,Yes,Local cuisine popular in Shani Shingnapur,Nov-Mar,92,"Darshan, Rituals",Temple famous for houses without doors
Maharashtra,Meherabad,Meher Baba Samadhi,"meditative, serene, spiritual",400,8.7,4.4,10,1.0,Yes,Local cuisine popular in Meherabad,Nov-Feb,88,"Meditation, Ashram visit",World-famous Meher Baba’s resting place
Maharashtra,Samrad,Sandhan Valley,"adventure, canyon, trek",1500,9.2,4.7,95,2.0,Yes,Local cuisine popular in Samrad,Nov-Feb,95,"Rappelling, Valley trek, Camping",Known as India’s ‘Grand Canyon’
Maharashtra,Bhandardara,Bhandardara Lake (Arthur Lake),"nature, relax, scenic",1200,9.1,4.6,75,2.0,Yes,Local cuisine popular in Bhandardara,Jul-Feb,94,"Camping, Boating, Trekking",One of Maharashtra’s most scenic lake destinations
Maharashtra,Dhule,Laling Fort,"adventure, heritage, trek",400,8.6,4.3,10,1.0,Yes,Local cuisine popular in Dhule,Nov-Feb,86,"Trekking, Photography",Ancient fort with hilltop views of Dhule
Maharashtra,Sakri,Aner Dam,"nature, relax, scenic",600,8.7,4.4,35,1.0,Yes,Local cuisine popular in Sakri,Nov-Feb,88,"Picnic, Photography",Peaceful dam surrounded by forest patches
Maharashtra,Shahada,Toranmal Hill Station,"hill station, nature, scenic",1500,9.0,4.6,90,2.0,Yes,Local cuisine popular in Shahada,Oct-Mar,94,"Boating, Trekking, Valley views",Beautiful plateau with lakes and viewpoints
Maharashtra,Songir,Songir Fort,"adventure, heritage, trek",300,8.4,4.2,20,1.0,Yes,Local cuisine popular in Songir,Nov-Feb,84,"Trekking, Fort exploration",Ancient fort once guarding trade routes
Maharashtra,Sindkheda,Bhamer Fort,"adventure, archaeological, heritage",500,8.8,4.5,55,1.0,Yes,Local cuisine popular in Sindkheda,Nov-Feb,89,"Trekking, Cave exploration",Fort with ancient rock-cut caves
Maharashtra,Dhule,Nakane Lake,"nature, relax, urban",300,8.5,4.3,5,1.0,Yes,Local cuisine popular in Dhule,Nov-Feb,82,"Walking, Photography, Picnics",Popular peaceful lake near Dhule city
Maharashtra,Ajanta,Ajanta Caves,"architecture, cultural, heritage",1200,9.8,4.9,105,2.0,Yes,Local cuisine popular in Ajanta,Nov-Feb,99,"Cave tour, Photography",UNESCO World Heritage Buddhist rock-cut caves
Maharashtra,Jalgaon,Mehrun Lake,"nature, relax, scenic",300,8.6,4.3,0,1.0,Yes,Local cuisine popular in Jalgaon,Nov-Feb,88,"Walking, Picnics, Photography",Popular urban lake with gardens
Maharashtra,Erandol,Swinging Towers,"engineering, heritage, unique",200,8.5,4.2,25,1.0,Yes,Local cuisine popular in Erandol,Oct-Feb,86,"Exploration, Photography",Two ancient towers that vibrate together
Maharashtra,Chalisgaon,Patna Devi Temple,"heritage, nature, spiritual",400,8.7,4.4,55,1.0,Yes,Local cuisine popular in Chalisgaon,Oct-Feb,90,"Trekking, Darshan, Photography",Goddess temple inside scenic mountains
Maharashtra,Bhusawal,Omkareshwar Mandir,"cultural, peaceful, spiritual",300,8.8,4.4,20,1.0,Yes,Local cuisine popular in Bhusawal,Nov-Mar,91,"Temple visit, Meditation",Ancient Shiva temple famous in Bhusawal
Maharashtra,Parola,Hatnur Dam,"nature, relax, scenic",400,8.5,4.3,45,1.0,Yes,Local cuisine popular in Parola,Nov-Feb,87,"Picnic, Birdwatching, Photography",Large scenic dam on Tapi River
Maharashtra,Toranmal,Toranmal Hill Station,"hill station, nature, scenic",1500,9.2,4.7,90,2.0,Yes,Local cuisine popular in Toranmal,Oct-Mar,96,"Boating, Trekking, Lake visit",One of Maharashtra’s quietest hill stations
Maharashtra,Dhadgaon,Asthamba Tribal Pilgrimage,"cultural, spiritual, tribal",300,8.8,4.4,60,1.0,Yes,Local cuisine popular in Dhadgaon,Oct-Feb,90,"Pilgrimage walk, Cultural immersion",Major tribal pilgrimage site among Bhil community
Maharashtra,Unapdev,Unapdev Hot Water Spring,"hot spring, nature, unique",500,8.7,4.4,40,1.0,Yes,Local cuisine popular in Unapdev,Nov-Feb,89,"Soaking, Photography",Natural hot water spring believed to be ancient
Maharashtra,Prakasha,Prakasha Village (Dakshin Kashi),"cultural, riverside, spiritual",300,8.9,4.5,30,1.0,Yes,Local cuisine popular in Prakasha,Nov-Mar,92,"Temple visit, River worship",Known as ‘Dakshin Kashi’ with 100+ temples
Maharashtra,Visarwadi,Vispanath Maharaj Math,"cultural, peaceful, spiritual",400,8.4,4.2,25,1.0,Yes,Local cuisine popular in Visarwadi,Oct-Feb,85,"Ashram visit, Meditation",Famous local spiritual center
Maharashtra,Akkalkuva,Akkalkuva Hills Viewpoint,"mountain views, nature, scenic",300,8.5,4.3,35,1.0,Yes,Local cuisine popular in Akkalkuva,Oct-Feb,87,"Photography, Short hikes",Beautiful tribal belt with hill viewpoints
Maharashtra,Ellora,Ellora Caves,"architecture, cultural, heritage",1200,9.8,4.9,28,2.0,Yes,Local cuisine popular in Ellora,Nov-Feb,99,"Cave exploration, Photography","UNESCO site with 34 ancient Buddhist, Hindu & Jain caves"
Maharashtra,Aurangabad,Bibi Ka Maqbara,"architecture, heritage, mughal",500,9.0,4.6,0,1.0,Yes,Local cuisine popular in Aurangabad,Nov-Feb,95,"Photography, Heritage walk",Known as ‘Mini Taj Mahal’
Maharashtra,Daulatabad,Daulatabad Fort,"adventure, fort, heritage",600,9.2,4.7,15,1.0,Yes,Local cuisine popular in Daulatabad,Oct-Feb,96,"Trekking, Fort exploration",One of India’s strongest hill forts
Maharashtra,Aurangabad,Aurangabad Caves,"archaeology, heritage, nature",400,8.8,4.5,5,1.0,Yes,Local cuisine popular in Aurangabad,Nov-Feb,90,"Cave exploration, Trekking",Ancient Buddhist caves hidden in hills
Maharashtra,Aurangabad,Panchakki (Water Mill),"cultural, heritage, unique",200,8.5,4.3,2,1.0,Yes,Local cuisine popular in Aurangabad,Nov-Feb,85,"Sightseeing, Photography",17th-century water-powered mill
Maharashtra,Verul,Ghrishneshwar Temple,"cultural, heritage, spiritual",300,9.1,4.7,30,1.0,Yes,Local cuisine popular in Verul,Oct-Mar,94,"Darshan, Temple visit",One of the 12 Jyotirlingas
Maharashtra,Jalna,Jalna Fort,"architecture, cultural, heritage",300,8.6,4.3,0,1.0,Yes,Local cuisine popular in Jalna,Nov-Feb,88,"Fort tour, Photography",Important Mughal-era fort renovated by Nizam
Maharashtra,Jalna,Moti Talab,"relax, scenic, urban",200,8.4,4.2,0,1.0,Yes,Local cuisine popular in Jalna,Nov-Feb,85,"Walking, Photography",Popular lake and relaxing spot inside city
Maharashtra,Jamb,Jamb Samarth Temple,"cultural, heritage, spiritual",400,9.0,4.6,55,1.0,Yes,Local cuisine popular in Jamb,Oct-Mar,94,"Darshan, Pilgrimage walk",Birthplace of Sant Ramdas Swami
Maharashtra,Ghansawangi,Ghansawangi Hot Water Spring,"hot spring, nature, unique",500,8.5,4.3,40,1.0,Yes,Local cuisine popular in Ghansawangi,Nov-Feb,87,"Soaking, Photography",Natural hot spring known for warm therapeutic water
Maharashtra,Paithan,Nathsagar Bird Sanctuary (Jaikwadi),"birds, nature, wildlife",800,9.1,4.6,65,1.0,Yes,Local cuisine popular in Paithan,Nov-Feb,95,"Birdwatching, Photography",Home to thousands of migratory birds every winter
Maharashtra,Badnapur,Mastgad Fort,"adventure, heritage, trek",300,8.3,4.2,20,1.0,Yes,Local cuisine popular in Badnapur,Oct-Feb,84,"Trekking, Fort exploration",Ancient hill fort with scenic rural surroundings
Maharashtra,Beed,Kankaleshwar Temple,"cultural, heritage, spiritual",300,8.6,4.4,0,1.0,Yes,Local cuisine popular in Beed,Nov-Feb,89,"Temple visit, Photography",Ancient Shiva temple built amid a water tank
Maharashtra,Parli,Parli Vaijnath Temple,"heritage, jyotirlinga, spiritual",500,9.4,4.8,60,1.0,Yes,Local cuisine popular in Parli,Oct-Mar,98,"Darshan, Pooja",One of the 12 Jyotirlinga temples
Maharashtra,Dharur,Dharur Fort,"adventure, heritage, trek",300,8.3,4.2,35,1.0,Yes,Local cuisine popular in Dharur,Nov-Feb,85,"Fort exploration, Photography",Hilltop fort with old fortifications
Maharashtra,Ambejogai,Yogeshwari Temple,"cultural, heritage, spiritual",400,9.0,4.6,70,1.0,Yes,Local cuisine popular in Ambejogai,Oct-Mar,94,"Darshan, Cultural visit",Major temple with ancient stone architecture
Maharashtra,Kaij,Balaghat Hills,"hill views, nature, scenic",500,8.5,4.3,55,1.0,Yes,Local cuisine popular in Kaij,Nov-Feb,87,"Picnics, Short hikes",Beautiful hill range with greenery
Maharashtra,Georai,Himayat Bagh (Beed Region),"nature, relax, scenic",300,8.4,4.2,30,1.0,Yes,Local cuisine popular in Georai,Nov-Feb,84,"Walking, Nature photography",Green landscaped garden & forest-like area
Maharashtra,Osmanabad,Dharashiv Caves,"archaeology, caves, heritage",300,8.7,4.4,0,1.0,Yes,Local cuisine popular in Osmanabad,Nov-Feb,90,"Cave exploration, Photography",Ancient Buddhist caves carved into basalt hills
Maharashtra,Tuljapur,Tulja Bhavani Temple,"heritage, pilgrimage, spiritual",500,9.5,4.8,25,1.0,Yes,Local cuisine popular in Tuljapur,Oct-Mar,98,"Darshan, Pooja, Pilgrimage walk","One of the Shri Shaktipeethas, patron deity of Shivaji Maharaj"
Maharashtra,Naldurg,Naldurg Fort,"adventure, fort, heritage",400,9.0,4.6,45,1.0,Yes,Local cuisine popular in Naldurg,Nov-Feb,95,"Trekking, Fort exploration, Photography",One of Maharashtra’s largest forts with a massive moat
Maharashtra,Ter,Ter Museum,"artefacts, cultural, heritage",200,8.6,4.3,20,1.0,Yes,Local cuisine popular in Ter,Nov-Feb,88,"Museum visit, History learning",Ancient Satavahana-era town with archaeological finds
Maharashtra,Yedshi,Yedshi Ramling Wildlife Sanctuary,"forest, nature, wildlife",1200,8.8,4.5,35,1.0,Yes,Local cuisine popular in Yedshi,Nov-Feb,90,"Safari, Birdwatching, Nature walk","Dry deciduous forest with deer, wolves & peacocks"
Maharashtra,Paranda,Paranda Fort,"architecture, fort, heritage",300,8.5,4.3,60,1.0,Yes,Local cuisine popular in Paranda,Nov-Feb,87,"Fort exploration, Photography",Medieval fort known for robust bastions
Maharashtra,Udgir,Udgir Fort,"adventure, fort, heritage",300,9.0,4.6,25,1.0,Yes,Local cuisine popular in Udgir,Nov-Feb,94,"Fort exploration, Photography",Historic fort known for treaty between Marathas & Nizams
Maharashtra,Kharosa,Kharosa Caves,"archaeology, caves, heritage",300,8.8,4.4,45,1.0,Yes,Local cuisine popular in Kharosa,Nov-Feb,90,"Cave exploration, Photography",Ancient Buddhist caves carved in basalt hills
Maharashtra,Latur,Ganj Golai,"cultural, heritage, urban",200,8.5,4.3,0,1.0,Yes,Local cuisine popular in Latur,Nov-Feb,88,"Shopping, Heritage walk",Famous circular market and city landmark
Maharashtra,Latur,Siddheshwar Temple,"cultural, heritage, spiritual",300,8.9,4.5,0,1.0,Yes,Local cuisine popular in Latur,Oct-Mar,92,"Darshan, Meditation",One of the most revered Shiva temples in Latur
Maharashtra,Ausa,Ausa Fort,"architecture, fort, heritage",300,8.4,4.2,20,1.0,Yes,Local cuisine popular in Ausa,Nov-Feb,86,"Fort visit, Photography",Historic fort with unique bastions & moat
Maharashtra,Devarjan,Hattibet–Devarjan Forest,"forest, nature, wildlife",500,8.6,4.3,40,1.0,Yes,Local cuisine popular in Devarjan,Nov-Feb,87,"Hiking, Nature walk, Photography",Scenic forest area with viewpoints
Maharashtra,Nanded,Hazur Sahib (Sachkhand Gurudwara),"heritage, sikh, spiritual",600,9.8,4.9,0,1.0,Yes,Local cuisine popular in Nanded,Nov-Feb,99,"Darshan, Meditation, Langar",One of the 5 Takhts of Sikhism
Maharashtra,Kandhar,Kandhar Fort,"architecture, cultural, heritage",400,8.8,4.4,45,1.0,Yes,Local cuisine popular in Kandhar,Nov-Feb,90,"Fort exploration, Photography",Massive hill fort built by Rashtrakutas
